Date,Close,High,Low,Open,Volume
2021-11-26,1177.6353759765625,1209.5155039397036,1173.1683033969268,1205.8783642906405,794642
2021-11-29,1192.45263671875,1220.5247049321904,1171.7037167349026,1177.5622353185772,903740
2021-11-30,1174.9991455078125,1208.75881151627,1166.8216299007674,1203.9255813118377,1136546
2021-12-01,1204.364990234375,1208.1243019289966,1184.1531474536594,1184.1531474536594,669636
2021-12-02,1212.61572265625,1218.5718593483457,1201.5821317017505,1204.364904176793,425140
2021-12-03,1175.6826171875,1218.0592601360693,1171.7526228654533,1215.7158287892973,771140
2021-12-06,1153.7864990234375,1183.6893558782951,1150.7839365751327,1181.9561868671085,813744
2021-12-07,1162.7205810546875,1173.5343811333717,1158.790468077212,1162.76933052267,486748
2021-12-08,1180.1986083984375,1187.0579815864676,1175.1701415952505,1184.8854712891866,1310544
2021-12-09,1198.9703369140625,1208.270640204608,1184.1286843606786,1186.8871418253464,340954
2021-12-10,1200.483642578125,1203.974414682876,1186.5940955388671,1193.1849288199924,255566
2021-12-13,1176.48828125,1208.0754390260877,1174.1448498111704,1205.8784944006616,571328
2021-12-14,1162.134765625,1174.6329863905237,1158.7661650864122,1166.3334183237578,573182
2021-12-15,1158.2779541015625,1173.9006704477163,1153.0296978290264,1164.307393868153,542076
2021-12-16,1173.876220703125,1178.782753829544,1156.5692043165002,1173.6565500957647,294810
2021-12-17,1142.9725341796875,1175.9755703593048,1132.6469427020602,1169.2626843842388,853244
2021-12-20,1111.7515869140625,1133.0863362137002,1097.4958813329872,1130.2059454118619,2209796
2021-12-21,1127.813720703125,1144.8521982800985,1119.4652838619472,1125.128566293513,330282
2021-12-22,1155.0802001953125,1158.033893957144,1129.961824436682,1129.961824436682,489472
2021-12-23,1154.445556640625,1161.9396266996614,1151.6627838940474,1158.0339472821836,254094
2021-12-24,1158.156005859375,1167.7492833022939,1141.2638946131292,1155.5929037281655,364450
2021-12-27,1156.9598388671875,1160.8410837137149,1146.7806148281513,1153.59111905951,159772
2021-12-28,1170.580810546875,1174.1447665248036,1159.181181314238,1163.892359000055,200586
2021-12-29,1173.192626953125,1180.6865761441222,1163.1354570258434,1167.7490159674549,272042
2021-12-30,1150.4422607421875,1174.2669290616814,1145.340490834094,1170.727407084466,791818
2021-12-31,1156.154296875,1164.0389587515947,1152.1998679611547,1157.057532921331,362600
2022-01-03,1173.8275146484375,1176.073208661658,1154.5919731731667,1155.836932250078,545852
2022-01-04,1199.89794921875,1201.9484070757135,1173.1684556902273,1176.5859251824586,1118632
2022-01-05,1203.9500732421875,1208.9542248232135,1187.814711866944,1201.0695632560344,513542
2022-01-06,1179.8079833984375,1198.0669843006856,1176.0975408232891,1198.0669843006856,623294
2022-01-07,1189.2548828125,1199.8490138107704,1177.3181745883876,1189.2793171458893,743220
